graphics 28 0.5 0 0
stdgraph 26 0 .7 .3
xypic 28 .2 .3 .4
mf 26 .4 .3 .2
pstricks 80 .8 .1 .9
science 54 .1 .8 .1
music 20 0 0 .6
games 32 0 .2 .4
colour 42 1 1 0
psfonts 66 0 1 1
pstools 50 0 .6 .2

