1800 3 6
1810 9 15
1820 26 64
1830 31 88
1840 68 118
1850 44 105
1860 56 149
1870 142 197
1880 144 151
1890 134 80
1900 158 125
1910 139 93
1920 159 128
1930 170 119
1940 136 107
1950 167 122
1960 199 201
1970 174 125
1980 120 61
